time,label,name,painter,pigment,tag,attribute,img_src
新古典主義,David001,拿破崙越過阿爾卑斯山 Napoleon Crossing the Alps,達維 Jacques Louis David,油彩．畫布 Oil on Canvas,#拿破崙越過阿爾卑斯山#Napoleon#Crossing#the#Alps#David001,男子,https://www.ss.net.tw/images/product_images/popup_images/David001.webp
立體派,Picasso054,老吉他手 The Old Guitarist,畢卡索 Pablo Picasso,油彩．畫布 Oil on Canvas,#老吉他手#The#Old#Guitarist#Picasso054,男子,https://www.ss.net.tw/images/product_images/popup_images/6238_01662000452.webp
巴洛克藝術,Caravaggio019,男孩與一籃水果 Boy with a Basket of Fruit,卡拉瓦喬 Michelangelo Merisi da Caravaggio,油彩．畫布 Oil on Canvas,#男孩與一籃水果#Boy#with#Basket#Fruit#Caravaggio019,男子,https://www.ss.net.tw/images/product_images/popup_images/Caravaggio019.webp
新古典主義,Ingres042,王座上的拿破崙一世 Napoleon I on the throne,安格爾 Jean Auguste Dominique Ingres,油彩．畫布 Oil on Canvas,#王座上的拿破崙一世#Napoleon#the#throne#Ingres042,男子,https://www.ss.net.tw/images/product_images/popup_images/3848_01630207165.webp
後期印象主義,VanGogh176,自畫像 Self-Portrait,梵谷 Vincent Van Gogh,油彩．畫布 Oil on Canvas,#自畫像#Self#Portrait#VanGogh176,男子,https://www.ss.net.tw/images/product_images/popup_images/VanGogh176.webp
後期印象主義,VanGogh224,戴草帽的自畫像 Self-portrait with a Straw Hat,梵谷 Vincent Van Gogh,油彩．畫布 Oil on Canvas,#戴草帽的自畫像#Self#portrait#with#Straw#Hat#VanGogh224,男子,https://www.ss.net.tw/images/product_images/popup_images/VanGogh224.webp
後期印象主義,VanGogh172,自畫像 Self-Portrait,梵谷 Vincent Van Gogh,油彩．畫布 Oil on Canvas,#自畫像#Self#Portrait#VanGogh172,男子,https://www.ss.net.tw/images/product_images/popup_images/VanGogh172.webp
超現實主義,Magritte042,不被複製 Not to be Reproduced,瑪格利特 Rene Magritte,油彩．畫布 Oil on Canvas,#不被複製#Not#Reproduced#Magritte042,男子,https://www.ss.net.tw/images/product_images/popup_images/Magritte042.webp
後期印象主義,Gauguin160,自畫像 Self - portrait,高更 Paul Gauguin,油彩．畫布 Oil on Canvas,#自畫像#Self#portrait#Gauguin160,男子,https://www.ss.net.tw/images/product_images/popup_images/Gauguin160.webp
文藝復興初期,Botticelli007,持圓盤的年輕男子 Young Man Holding a Roundel,波提且利 Sandro Botticelli,蛋彩．畫板 Tempera on poplar panel,#持圓盤的年輕男子#Young#Man#Holding#Roundel#Botticelli007,男子,https://www.ss.net.tw/images/product_images/popup_images/385_01617526476.webp
巴洛克藝術,Rembrandt060,34歲的自畫像 Self Portrait at the Age of 34,林布蘭特 Rembrandt HarMenszoon van Rijn,油彩．畫布 Oil on Canvas,#34歲的自畫像#Self#Portrait#the#Age#Rembrandt060,男子,https://www.ss.net.tw/images/product_images/popup_images/Rembrandt060.webp
文藝復興盛期,Leonardo017,自畫像 Self - portrait,達文西 Leonardo Da Vinci,紅色粉筆．紙 Red chalk on paper,#自畫像#Self#portrait#Leonardo017,男子,https://www.ss.net.tw/images/product_images/popup_images/4491_01534837792.webp
其他,Warhol025,毛澤東 Mao,安迪沃荷 Andy Warhol,油彩．畫布．絲網印刷 acrylic and silkscreen ink on canvas,#毛澤東#Mao#Warhol025,男子,https://www.ss.net.tw/images/product_images/popup_images/Warhol025.webp
文藝復興盛期,Raphael009,佩魯吉諾畫像 Portrait of Perugino,拉斐爾 Raffaello Sanzio,蛋彩．木板 Tempera on wood,#佩魯吉諾畫像#Portrait#Perugino#Raphael009,男子,https://www.ss.net.tw/images/product_images/popup_images/Raphael009.webp
新古典主義,David010,馬拉之死 Death of Marat,達維 Jacques Louis David,油彩．畫布 Oil on Canvas,#馬拉之死#Death#Marat#David010,男子,https://www.ss.net.tw/images/product_images/popup_images/David010.webp
寫實主義,Courbet085,絕望的人 The Desperate Man,高爾培 Gustave Courbet,油彩．畫布 Oil on Canvas,#絕望的人#The#Desperate#Man#Courbet085,男子,https://www.ss.net.tw/images/product_images/popup_images/Courbet085.webp
後期印象主義,VanGogh280,傷心的老人 Sorrowing Old Man (At Eternity’s Gate),梵谷 Vincent Van Gogh,油彩．畫布 Oil on Canvas,#傷心的老人#Sorrowing#Old#Man#Eternity’s#Gate#VanGogh280,男子,https://www.ss.net.tw/images/product_images/popup_images/VanGogh280.webp
哥德藝術,Eyck011,包著紅頭巾的男子 Portrait of a Man,艾克 Jan van Eyck,油彩．木板 Oil on wood,#包著紅頭巾的男子#Portrait#Man#Eyck011,男子,https://www.ss.net.tw/images/product_images/popup_images/2703_01650710491.webp
巴洛克藝術,Rembrandt036,自畫像 Self - Portrait,林布蘭特 Rembrandt HarMenszoon van Rijn,油彩．畫布 Oil on paper laid down on canvas,#自畫像#Self#Portrait#Rembrandt036,男子,https://www.ss.net.tw/images/product_images/popup_images/Rembrandt036.webp
超現實主義,Magritte035,透視 Clairvoyance,瑪格利特 Rene Magritte,油彩．畫布 Oil on Canvas,#Clairvoyance#Magritte035,男子,https://www.ss.net.tw/images/product_images/popup_images/Magritte035.webp
浪漫主義,Gericault002,皇家的騎兵軍官 An Officer of the Imperial Horse Guards Charging,傑利柯 Theodore Gericault,油彩．畫布 Oil on Canvas,#皇家的騎兵軍官#Officer#the#Imperial#Horse#Guards#Charging#Gericault002,男子,https://www.ss.net.tw/images/product_images/popup_images/3156_01544326165.webp
巴洛克藝術,Rembrandt115,戴帽子的人 Man in a gorget and a cap,林布蘭特 Rembrandt HarMenszoon van Rijn,油彩．畫板 Oil on panel,#戴帽子的人#Man#gorget#and#cap#Rembrandt115,男子,https://www.ss.net.tw/images/product_images/popup_images/Rembrandt115.webp
未來派,Boccioni014,自畫像 Self - Portrait,勃糾尼 Umberto Boccioni,油彩．畫布 Oil on Canvas,#自畫像#Self#Portrait#Boccioni014,男子,https://www.ss.net.tw/images/product_images/popup_images/Boccioni014.webp
文藝復興盛期,Raphael047,自畫像 Self Portrait,拉斐爾 Raffaello Sanzio,油彩．白楊木 Oil on poplar,#自畫像#Self#Portrait#Raphael047,男子,https://www.ss.net.tw/images/product_images/popup_images/Raphael047.webp
新藝術派,Mucha045,羅倫札奇歐 Lorenzaccio,慕夏 Alphonse Mucha,彩色石版印刷 Color lithograph,#羅倫札奇歐#Lorenzaccio#Mucha045,男子,https://www.ss.net.tw/images/product_images/popup_images/Mucha045.webp
後期印象主義,Cezanne073,戴帽子的自畫像 Self - Portrait with a Hat,塞尚 Paul Cezanne,油彩．畫布 Oil on Canvas,#戴帽子的自畫像#Self#Portrait#with#Hat#Cezanne073,男子,https://www.ss.net.tw/images/product_images/popup_images/Cezanne073.webp
洛可可藝術,Watteau002,丑角吉爾 Pierrot (Gilles),華鐸 Jean Antoine Watteau,油彩．畫布 Oil on Canvas,#丑角吉爾#Pierrot#Gilles#Watteau002,男子,https://www.ss.net.tw/images/product_images/popup_images/Watteau002.webp
浪漫主義,Goya063,騎馬的將軍 General Jose de Palafox on Horseback,戈耶 Francisco de Goya,油彩．畫布 Oil on Canvas,#騎馬的將軍#General#Jose#Palafox#Horseback#Goya063,男子,https://www.ss.net.tw/images/product_images/popup_images/Goya063.webp
寫實主義,Millet090,男子畫像 Portrait of a Man,米勒 Jean Francois Millet,油彩．畫布 Oil on Canvas,#男子畫像#Portrait#Man#Millet090,男子,https://www.ss.net.tw/images/product_images/popup_images/Millet090.webp
新古典主義,David025,拿破崙越過阿爾卑斯山 Napoleon Crossing the Alps,達維 Jacques Louis David,油彩．畫布 Oil on Canvas,#拿破崙越過阿爾卑斯山#Napoleon#Crossing#the#Alps#David025,男子,https://www.ss.net.tw/images/product_images/popup_images/2007_01648810895.webp
文藝復興北歐,Holbein030,使節 The Ambassadors,霍爾班 Hans Holbein der Jungere,油彩．橡木板 Oil on oak panel,#The#Ambassadors#Holbein030,男子,https://www.ss.net.tw/images/product_images/popup_images/Holbein030.webp
新古典主義,David044,拿破崙越過阿爾卑斯山 Napoleon Crossing the Alps,達維 Jacques Louis David,油彩．畫布 Oil on Canvas,#拿破崙越過阿爾卑斯山#Napoleon#Crossing#the#Alps#David044,男子,https://www.ss.net.tw/images/product_images/popup_images/David044.webp
未來派,Boccioni012,布梭尼肖像 Ritratto del maestro Ferruccio Busoni,勃糾尼 Umberto Boccioni,油彩．畫布 Oil on Canvas,#布梭尼肖像#Ritratto#del#maestro#Ferruccio#Busoni#Boccioni012,男子,https://www.ss.net.tw/images/product_images/popup_images/Boccioni012.webp
文藝復興盛期,Leonardo024,音樂家肖像 Portrait of a Musician,達文西 Leonardo Da Vinci,油彩．畫板 Oil on panel,#音樂家肖像#Portrait#Musician#Leonardo024,男子,https://www.ss.net.tw/images/product_images/popup_images/Leonardo024.webp
寫實主義,Millet014,一個男人肖像 Portrait of a Man,米勒 Jean Francois Millet,油彩．畫布 Oil on Canvas,#一個男人肖像#Portrait#Man#Millet014,男子,https://www.ss.net.tw/images/product_images/popup_images/Millet014.webp
立體派,Malevich025,自畫像 Self - Portrait,梅爾魏契 Kasimir Malevich,水粉．紙 Gouache on paper,#自畫像#Self#Portrait#Malevich025,男子,https://www.ss.net.tw/images/product_images/popup_images/Malevich025.webp
後期印象主義,VanGogh151,戴氈帽的自畫像 Self-Portrait with Felt Hat,梵谷 Vincent Van Gogh,油彩．畫布 Oil on Canvas,#戴氈帽的自畫像#Self#Portrait#with#Felt#Hat#VanGogh151,男子,https://www.ss.net.tw/images/product_images/popup_images/VanGogh151.webp
巴洛克藝術,Velazquez019,西班牙的菲利普四世 Philip IV of Spain,維拉斯奎茲 Diego Velazquez,油彩．畫布 Oil on Canvas,#西班牙的菲利普四世#Philip#Spain#Velazquez019,男子,https://www.ss.net.tw/images/product_images/popup_images/Velazquez019.webp
後期印象主義,VanGogh321,嘉舍醫生 Dr Paul Gachet,梵谷 Vincent Van Gogh,油彩．畫布 Oil on Canvas,#嘉舍醫生#Paul#Gachet#VanGogh321,男子,https://www.ss.net.tw/images/product_images/popup_images/VanGogh321.webp
後期印象主義,VanGogh107,打穀者 The Sheaf-binder (after Millet),梵谷 Vincent Van Gogh,油彩．畫布 Oil on Canvas,#打穀者#The#Sheaf#binder#after#Millet#VanGogh107,男子,https://www.ss.net.tw/images/product_images/popup_images/VanGogh107.webp
巴洛克藝術,Rembrandt001,自畫像 Self Portrait at the Age of 63,林布蘭特 Rembrandt HarMenszoon van Rijn,油彩．畫布 Oil on Canvas,#自畫像#Self#Portrait#the#Age#Rembrandt001,男子,https://www.ss.net.tw/images/product_images/popup_images/Rembrandt001.webp
後期印象主義,Cezanne026,吸煙者 The Smoker,塞尚 Paul Cezanne,油彩．畫布 Oil on Canvas,#吸煙者#The#Smoker#Cezanne026,男子,https://www.ss.net.tw/images/product_images/popup_images/Cezanne026.webp
立體派,Picasso110,坐著的丑角 Seated Harlequin,畢卡索 Pablo Picasso,油彩．畫布 Oil on Canvas,#坐著的丑角#Seated#Harlequin#Picasso110,男子,https://www.ss.net.tw/images/product_images/popup_images/Picasso110.webp
表現主義,Schiele010,自畫像 Self - Portrait with Physalis,席勒 Egon Schiele,油彩．畫布 Oil on Canvas,#自畫像#Self#Portrait#with#Physalis#Schiele010,男子,https://www.ss.net.tw/images/product_images/popup_images/Schiele010.webp
文藝復興北歐,Durer025,自畫像 Self Portrait,杜勒 Albrecht Durer,油彩．畫布 Oil on Canvas,#自畫像#Self#Portrait#Durer025,男子,https://www.ss.net.tw/images/product_images/popup_images/Durer025.webp
新古典主義,David019,拿破崙鎮靜駕馭烈馬橫越阿爾卑斯山 Bonaparte. Calm on a Fiery Steed. Crossing the Alps,達維 Jacques Louis David,油彩．畫布 Oil on Canvas,#拿破崙鎮靜駕馭烈馬橫越阿爾卑斯山#Bonaparte.#Calm#Fiery#Steed.#Crossing#the#Alps#David019,男子,https://www.ss.net.tw/images/product_images/popup_images/David019.webp
巴洛克藝術,Velazquez051,奧利瓦雷斯公爵肖像 Portrait of the Count-Duke of Olivares,維拉斯奎茲 Diego Velazquez,油彩．畫布 Oil on Canvas,#奧利瓦雷斯公爵肖像#Portrait#the#Count#Duke#Olivares#Velazquez051,男子,https://www.ss.net.tw/images/product_images/popup_images/Velazquez051.webp
巴洛克藝術,Rembrandt018,有羽毛帽子的自畫像 Self portrait in a Feathered Hat,林布蘭特 Rembrandt HarMenszoon van Rijn,油彩．畫板 Oil on panel,#有羽毛帽子的自畫像#Self#portrait#Feathered#Hat#Rembrandt018,男子,https://www.ss.net.tw/images/product_images/popup_images/Rembrandt018.webp
後期印象主義,VanGogh208,嘉舍醫生肖像 Portrait of Dr Gachet,梵谷 Vincent Van Gogh,油彩．畫布 Oil on Canvas,#嘉舍醫生肖像#Portrait#Gachet#VanGogh208,男子,https://www.ss.net.tw/images/product_images/popup_images/VanGogh208.webp
文藝復興盛期,Giorgione006,三種年齡 The Three Ages,吉奧僑尼 Giorgio o Zorzi da Castelfranco,油彩．木板 Oil on wood,#三種年齡#The#Three#Ages#Giorgione006,男子,https://www.ss.net.tw/images/product_images/popup_images/Giorgione006.webp
文藝復興初期,Botticelli022,年輕男子畫像 Portrait of a Young Man,波提且利 Sandro Botticelli,油彩．木板 Oil on wood,#年輕男子畫像#Portrait#Young#Man#Botticelli022,男子,https://www.ss.net.tw/images/product_images/popup_images/Botticelli022.webp
其他,Warhol022,三重貓王 Triple Elvis,安迪沃荷 Andy Warhol,亞麻．絲網．油墨．銀漆 silkscreen ink and silver paint on linen,#三重貓王#Triple#Elvis#Warhol022,男子,https://www.ss.net.tw/images/product_images/popup_images/Warhol022.webp
立體派,Picasso257,帶調色板的自畫像 Self-Portrait with Palette,畢卡索 Pablo Picasso,油彩．畫布 Oil on Canvas,#帶調色板的自畫像#Self#Portrait#with#Palette#Picasso257,男子,https://www.ss.net.tw/images/product_images/popup_images/Picasso257.webp
表現主義,RousseauH011,有風景的自畫像 Myself. Portrait-Landscape,盧梭 Henri Rousseau,油彩．畫布 Oil on Canvas,#有風景的自畫像#Myself.#Portrait#Landscape#RousseauH011,男子,https://www.ss.net.tw/images/product_images/popup_images/RousseauH011.webp
超現實主義,Chagall036,老人和孩子 Le Vieillard et le chevreau,夏卡爾 Marc Chagall,油彩．畫布 Oil on Canvas,#老人和孩子#Vieillard#chevreau#Chagall036,男子,https://www.ss.net.tw/images/product_images/popup_images/Chagall036.webp
新古典主義,David040,拿破崙途經聖貝爾納多 Napoleon at the St. Bernard Pass,達維 Jacques Louis David,油彩．畫布 Oil on Canvas,#拿破崙途經聖貝爾納多#Napoleon#the#St.#Bernard#Pass#David040,男子,https://www.ss.net.tw/images/product_images/popup_images/David040.webp
新古典主義,Ingres008,尼古拉．戈列夫伯爵肖像 Portrait of Count Nikolay Gouriev,安格爾 Jean Auguste Dominique Ingres,油彩．畫布 Oil on Canvas,#尼古拉．戈列夫伯爵肖像#Portrait#Count#Nikolay#Gouriev#Ingres008,男子,https://www.ss.net.tw/images/product_images/popup_images/Ingres008.webp
後期印象主義,VanGogh212,郵差約瑟魯林 Postman Joseph Roulin,梵谷 Vincent Van Gogh,油彩．畫布 Oil on Canvas,#郵差約瑟魯林#Postman#Joseph#Roulin#VanGogh212,男子,https://www.ss.net.tw/images/product_images/popup_images/VanGogh212.webp
文藝復興初期,Ghirlandaio008,穿紅衣的年輕男子 Portrait of a Young Man in Red,吉爾蘭達 Domenico Ghirlandaio,蛋彩．木板 Tempera on wood,#穿紅衣的年輕男子#Portrait#Young#Man#Red#Ghirlandaio008,男子,https://www.ss.net.tw/images/product_images/popup_images/Ghirlandaio008.webp
洛可可藝術,Chardin002,戴眼鏡的自畫像 Self-portrait with Spectacles,夏丹 Jean Baptiste Simeon Chardin,粉臘．紙 pastel on paper,#戴眼鏡的自畫像#Self#portrait#with#Spectacles#Chardin002,男子,https://www.ss.net.tw/images/product_images/popup_images/Chardin002.webp
洛可可藝術,Fragonard017,弗朗索瓦．亨利．德夏肖像 Portrait of François-Henri d’Harcourt,福拉歌納德 Jean Honore Fragonard,油彩．畫布 Oil on Canvas,#弗朗索瓦．亨利．德夏肖像#Portrait#François#Henri#d’Harcourt#Fragonard017,男子,https://www.ss.net.tw/images/product_images/popup_images/Fragonard017.webp
表現主義,Modigliani025,柴姆．蘇丁 Chaim Soutine,蒙地利亞尼 Amedeo Modigliani,油彩．畫布 Oil on Canvas,#柴姆．蘇丁#Chaim#Soutine#Modigliani025,男子,https://www.ss.net.tw/images/product_images/popup_images/Modigliani025.webp
文藝復興盛期,Titian036,自畫像 Self - portrait,提香 Titian,油彩．畫布 Oil on Canvas,#自畫像#Self#portrait#Titian036,男子,https://www.ss.net.tw/images/product_images/popup_images/Titian036.webp
巴洛克藝術,Rembrandt110,有荷馬胸像的亞里斯多德 Aristotle with a Bust of Homer,林布蘭特 Rembrandt HarMenszoon van Rijn,油彩．畫布 Oil on Canvas,#有荷馬胸像的亞里斯多德#Aristotle#with#Bust#Homer#Rembrandt110,男子,https://www.ss.net.tw/images/product_images/popup_images/Rembrandt110.webp
寫實主義,Courbet084,自畫像 Self Portrait with Pipe,高爾培 Gustave Courbet,油彩．畫布 Oil on Canvas,#自畫像#Self#Portrait#with#Pipe#Courbet084,男子,https://www.ss.net.tw/images/product_images/popup_images/Courbet084.webp
文藝復興盛期,Giorgione015,帶箭的年輕人 Young Man with Arrow,吉奧僑尼 Giorgio o Zorzi da Castelfranco,油彩．楊木板 Oil on poplar wood,#帶箭的年輕人#Young#Man#with#Arrow#Giorgione015,男子,https://www.ss.net.tw/images/product_images/popup_images/Giorgione015.webp
哥德藝術,Bosch022,回頭的行者 The Wayfarer ( The Pedlar ),包士 Hieronymus Bosch,油彩．畫板 Oil on panel,#回頭的行者#The#Wayfarer#Pedlar#Bosch022,男子,https://www.ss.net.tw/images/product_images/popup_images/Bosch022.webp
後期印象主義,ToulouseL041,梵谷畫像 Vincent van Gogh,羅德列克 Henri de Toulouse Lautrec,粉筆．紙 pastel on beige paper,#梵谷畫像#Vincent#van#Gogh#ToulouseL041,男子,https://www.ss.net.tw/images/product_images/popup_images/ToulouseL041.webp
表現主義,Munch012,伴著酒瓶的自畫像 Self-Portrait with a Bottle of Wine,孟克 Edvard Munch,油彩．畫布 Oil on Canvas,#伴著酒瓶的自畫像#Self#Portrait#with#Bottle#Wine#Munch012,男子,https://www.ss.net.tw/images/product_images/popup_images/Munch012.webp
文藝復興北歐,Durer011,自畫像 Self-portrait at 22,杜勒 Albrecht Durer,油彩．麻布 Oil on burlap,#自畫像#Self#portrait#Durer011,男子,https://www.ss.net.tw/images/product_images/popup_images/Durer011.webp
野獸派,Matisse103,沐浴者 Bather,馬諦斯 Henri Matisse,油彩．畫布 Oil on Canvas,#沐浴者#Bather#Matisse103,男子,https://www.ss.net.tw/images/product_images/popup_images/Matisse103.webp
巴洛克藝術,Rembrandt020,使徒聖保羅的自畫像 Self Portrait as the Apostle St Paul,林布蘭特 Rembrandt HarMenszoon van Rijn,油彩．畫布 Oil on Canvas,#使徒聖保羅的自畫像#Self#Portrait#the#Apostle#Paul#Rembrandt020,男子,https://www.ss.net.tw/images/product_images/popup_images/Rembrandt020.webp
巴洛克藝術,Velazquez003,一個男人的肖像 Portrait of a Man,維拉斯奎茲 Diego Velazquez,油彩．畫布 Oil on Canvas,#一個男人的肖像#Portrait#Man#Velazquez003,男子,https://www.ss.net.tw/images/product_images/popup_images/Velazquez003.webp
印象主義,Renoir018,閱讀中的莫內 Claude Monet Reading,雷諾瓦 Pierre Auguste Renoir,油彩．畫布 Oil on Canvas,#閱讀中的莫內#Claude#Monet#Reading#Renoir018,男子,https://www.ss.net.tw/images/product_images/popup_images/Renoir018.webp
立體派,Picasso113,德林克的苦艾酒 The Absinthe Drinker,畢卡索 Pablo Picasso,油彩．畫布 Oil on Canvas,#德林克的苦艾酒#The#Absinthe#Drinker#Picasso113,男子,https://www.ss.net.tw/images/product_images/popup_images/Picasso113.webp
巴洛克藝術,Vermeer035,天文學家 The astronomer,威梅爾 Johannes Vermeer,油彩．畫布 Oil on Canvas,#天文學家#The#astronomer#Vermeer035,男子,https://www.ss.net.tw/images/product_images/popup_images/Vermeer035.webp
巴洛克藝術,Velazquez023,菲利浦四狩獵裝束 Royal Felipe IV in Hunting Garb,維拉斯奎茲 Diego Velazquez,油彩．畫布 Oil on Canvas,#菲利浦四狩獵裝束#Royal#Felipe#Hunting#Garb#Velazquez023,男子,https://www.ss.net.tw/images/product_images/popup_images/Velazquez023.webp
巴洛克藝術,Velazquez027,西班牙的菲利普四世 King Philip IV of Spain,維拉斯奎茲 Diego Velazquez,油彩．畫布 Oil on Canvas,#西班牙的菲利普四世#King#Philip#Spain#Velazquez027,男子,https://www.ss.net.tw/images/product_images/popup_images/Velazquez027.webp
文藝復興初期,Botticelli018,班迪內利肖像 Portrait of Smerelda Bandinelli,波提且利 Sandro Botticelli,油彩．畫布 Oil on Canvas,#班迪內利肖像#Portrait#Smerelda#Bandinelli#Botticelli018,男子,https://www.ss.net.tw/images/product_images/popup_images/Botticelli018.webp
後期印象主義,VanGogh231,自畫像 Self - portrait,梵谷 Vincent Van Gogh,油彩．畫布 Oil on Canvas,#自畫像#Self#portrait#VanGogh231,男子,https://www.ss.net.tw/images/product_images/popup_images/VanGogh231.webp
立體派,Picasso038,自畫像 Self - Portrait,畢卡索 Pablo Picasso,油彩．畫布 Oil on Canvas,#自畫像#Self#Portrait#Picasso038,男子,https://www.ss.net.tw/images/product_images/popup_images/Picasso038.webp
後期印象主義,VanGogh050,戴氈帽的自畫像 Self-Portrait with Felt Hat,梵谷 Vincent Van Gogh,油彩．紙板 Oil on cardboard,#戴氈帽的自畫像#Self#Portrait#with#Felt#Hat#VanGogh050,男子,https://www.ss.net.tw/images/product_images/popup_images/VanGogh050.webp
新古典主義,Ingres029,傭兵隊長 The Condottiere,安格爾 Jean Auguste Dominique Ingres,油彩．畫布 Oil on Canvas,#傭兵隊長#The#Condottiere#Ingres029,男子,https://www.ss.net.tw/images/product_images/popup_images/Ingres029.webp
巴洛克藝術,Velazquez024,小丑 Bufón don Sebastián de Morra,維拉斯奎茲 Diego Velazquez,油彩．畫布 Oil on Canvas,#Bufón#don#Sebastián#Morra#Velazquez024,男子,https://www.ss.net.tw/images/product_images/popup_images/Velazquez024.webp
巴洛克藝術,Rembrandt102,戴貝雷帽的自畫像 Self - Portrait with Velvet Beret,林布蘭特 Rembrandt HarMenszoon van Rijn,油彩．畫布 Oil on Canvas,#戴貝雷帽的自畫像#Self#Portrait#with#Velvet#Beret#Rembrandt102,男子,https://www.ss.net.tw/images/product_images/popup_images/Rembrandt102.webp
文藝復興盛期,Bellini031,喬瓦尼．莫塞尼戈總督 Doge Giovanni Mocenigo,貝里尼 Giovanni Bellini,蛋彩．楊木 tempera on poplar,#喬瓦尼．莫塞尼戈總督#Doge#Giovanni#Mocenigo#Bellini031,男子,https://www.ss.net.tw/images/product_images/popup_images/Bellini031.webp
矯飾主義,Bronzino026,聖塞巴斯蒂安 Saint Sebastian,布隆津諾 Agnolo Bronzino,油彩．畫板 Oil on panel,#聖塞巴斯蒂安#Saint#Sebastian#Bronzino026,男子,https://www.ss.net.tw/images/product_images/popup_images/Bronzino026.webp
矯飾主義,Greco046,手放胸口的貴族 The Nobleman with his Hand on his Chest,葛雷柯 El Greco,油彩．畫布 Oil on Canvas,#手放胸口的貴族#The#Nobleman#with#his#Hand#Chest#Greco046,男子,https://www.ss.net.tw/images/product_images/popup_images/Greco046.webp
立體派,Picasso199,皮埃羅 Pierrot,畢卡索 Pablo Picasso,油彩．畫布 Oil on Canvas,#皮埃羅#Pierrot#Picasso199,男子,https://www.ss.net.tw/images/product_images/popup_images/Picasso199.webp
文藝復興北歐,Holbein008,亨利八世國王 Portrait of King Henry VIII,霍爾班 Hans Holbein der Jungere,油彩．畫板 Oil on panel,#亨利八世國王#Portrait#King#Henry#VIII#Holbein008,男子,https://www.ss.net.tw/images/product_images/popup_images/Holbein008.webp
印象主義,Manet110,悲劇演員 The Tragic Actor (Rouviere as Hamlet),馬奈 Edouard Manet,油彩．畫布 Oil on Canvas,#悲劇演員#The#Tragic#Actor#Rouviere#Hamlet#Manet110,男子,https://www.ss.net.tw/images/product_images/popup_images/Manet110.webp
後期印象主義,VanGogh092,尤金．布西 Eugène Boch,梵谷 Vincent Van Gogh,油彩．畫布 Oil on Canvas,#尤金．布西#Eugène#Boch#VanGogh092,男子,https://www.ss.net.tw/images/product_images/popup_images/VanGogh092.webp
表現主義,Modigliani033,萊昂．巴克斯特 Leon Bakst,蒙地利亞尼 Amedeo Modigliani,油彩．畫布 Oil on Canvas,#萊昂．巴克斯特#Leon#Bakst#Modigliani033,男子,https://www.ss.net.tw/images/product_images/popup_images/Modigliani033.webp
寫實主義,Millet020,鋤地者 Man with a Hoe,米勒 Jean Francois Millet,油彩．畫布 Oil on Canvas,#鋤地者#Man#with#Hoe#Millet020,男子,https://www.ss.net.tw/images/product_images/popup_images/5094_01598961231.webp
