"日期","收市","開市","高","低","成交量","更改%"
"2021年2月28日","45,164.0","46,136.0","46,582.0","43,100.6","135.08K","-2.11%"
"2021年2月27日","46,136.7","46,333.1","48,335.1","45,059.4","98.75K","-0.45%"
"2021年2月26日","46,345.6","46,928.5","48,413.9","44,248.2","189.41K","-1.24%"
"2021年2月25日","46,928.5","49,695.9","52,013.8","46,773.7","83.22K","-5.57%"
"2021年2月24日","49,697.5","48,911.1","51,311.8","47,031.7","153.75K","1.61%"
"2021年2月23日","48,911.2","54,114.1","54,115.0","45,093.8","315.07K","-9.61%"
"2021年2月22日","54,111.8","57,437.6","57,480.8","48,353.8","244.95K","-5.78%"
"2021年2月21日","57,433.8","55,907.6","58,335.1","55,502.7","87.26K","2.70%"
"2021年2月20日","55,923.7","55,922.0","57,523.8","54,124.1","127.85K","0.03%"
"2021年2月19日","55,906.6","51,590.1","56,238.5","50,816.8","139.43K","8.38%"
"2021年2月18日","51,582.2","52,094.5","52,524.0","50,941.6","94.35K","-0.95%"
"2021年2月17日","52,079.2","49,161.3","52,577.7","49,018.1","140.03K","5.92%"
"2021年2月16日","49,169.7","47,934.2","50,515.8","47,044.4","141.37K","2.57%"
"2021年2月15日","47,936.3","48,611.1","48,936.5","45,786.1","123.18K","-1.45%"
"2021年2月14日","48,643.4","47,172.1","49,695.1","47,051.9","106.50K","3.13%"
"2021年2月13日","47,168.7","47,373.1","48,097.3","46,270.5","89.42K","-0.43%"
"2021年2月12日","47,371.7","47,995.0","48,927.4","46,218.6","133.73K","-1.29%"
"2021年2月11日","47,990.7","44,834.8","48,622.1","44,041.1","145.77K","7.04%"
"2021年2月10日","44,836.0","46,507.8","47,295.3","43,800.5","151.83K","-3.60%"
"2021年2月9日","46,508.6","46,396.4","48,143.5","45,104.7","193.87K","0.24%"
"2021年2月8日","46,395.7","38,853.6","46,596.4","38,057.0","248.47K","19.41%"
"2021年2月7日","38,852.9","39,228.9","39,691.7","37,381.6","125.37K","-1.03%"
"2021年2月6日","39,256.6","38,300.6","40,939.7","38,275.3","156.02K","2.50%"
"2021年2月5日","38,297.6","36,976.4","38,303.6","36,640.0","100.60K","3.56%"
"2021年2月4日","36,982.1","37,648.9","38,707.9","36,380.8","151.44K","-1.77%"
"2021年2月3日","37,646.8","35,486.9","37,646.8","35,401.5","131.03K","6.09%"
"2021年2月2日","35,485.2","33,514.0","35,976.1","33,462.4","120.85K","5.88%"
"2021年2月1日","33,515.7","33,106.8","34,685.6","32,324.9","126.32K","1.23%"
"2021年1月31日","33,108.1","34,281.6","34,348.3","32,189.9","101.92K","-3.43%"
"2021年1月30日","34,283.1","34,300.0","34,920.9","32,908.5","128.57K","-0.05%"
"2021年1月29日","34,301.8","33,381.7","38,546.0","31,953.3","297.73K","2.78%"
"2021年1月28日","33,374.8","30,408.9","33,790.8","29,911.9","167.39K","9.77%"
"2021年1月27日","30,404.0","32,499.6","32,545.4","29,290.4","194.35K","-6.46%"
"2021年1月26日","32,502.1","32,244.1","32,917.7","30,850.0","139.84K","0.77%"
"2021年1月25日","32,252.3","32,244.3","34,854.3","31,967.4","142.43K","0.03%"
"2021年1月24日","32,241.3","32,088.5","33,034.8","30,982.9","88.21K","0.47%"
"2021年1月23日","32,088.9","32,994.1","33,441.4","31,418.2","100.70K","-2.76%"
"2021年1月22日","33,000.5","30,838.7","33,821.2","28,871.2","243.09K","7.00%"
"2021年1月21日","30,842.1","35,472.3","35,591.1","30,101.8","253.27K","-13.06%"
"2021年1月20日","35,476.3","35,862.1","36,384.4","33,444.5","153.61K","-1.46%"
"2021年1月19日","36,002.9","36,630.6","37,821.0","36,001.4","79.11K","-1.67%"
"2021年1月18日","36,613.2","35,838.2","37,436.8","34,801.0","111.52K","2.16%"
"2021年1月17日","35,839.6","36,020.1","36,801.3","33,883.5","126.82K","-0.50%"
"2021年1月16日","36,019.5","36,751.8","37,931.7","35,408.4","137.02K","-2.24%"
"2021年1月15日","36,845.8","39,175.7","39,715.0","34,488.7","118.42K","-5.95%"
"2021年1月14日","39,175.7","37,383.4","40,054.3","36,772.1","172.40K","4.80%"
"2021年1月13日","37,382.2","34,061.2","37,764.6","32,451.9","209.93K","9.70%"
"2021年1月12日","34,076.1","35,426.0","36,598.7","32,572.7","241.93K","-4.13%"
"2021年1月11日","35,544.3","38,195.3","38,217.2","30,411.6","251.04K","-6.93%"
"2021年1月10日","38,192.2","40,149.7","41,362.4","35,141.6","215.78K","-4.88%"
"2021年1月9日","40,151.9","40,607.2","41,363.5","38,775.1","128.42K","-1.10%"
"2021年1月8日","40,599.3","39,466.4","41,921.7","36,613.4","251.29K","2.89%"
"2021年1月7日","39,460.2","36,798.5","40,340.9","36,361.2","249.60K","7.25%"
"2021年1月6日","36,793.2","33,999.3","36,934.8","33,408.3","227.56K","8.24%"
"2021年1月5日","33,991.5","32,015.4","34,414.7","30,010.5","202.13K","6.15%"
"2021年1月4日","32,022.6","33,016.6","33,587.5","28,204.5","255.27K","-2.84%"
"2021年1月3日","32,958.9","32,192.9","34,755.9","32,029.6","155.21K","2.38%"
"2021年1月2日","32,193.3","29,359.7","33,233.5","29,008.0","240.87K","9.65%"
"2021年1月1日","29,359.9","28,951.7","29,627.1","28,712.4","100.90K","1.42%"
